v8-version,4,6,85,31,0
code-creation,Stub,11,0xe02c641b6e0,212,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641b7c0,156,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641b860,116,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c641b8e0,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641b9c0,256,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641bac0,458,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641bca0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641bd20,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c641be40,360,"StoreFastElementStub"
code-creation,Handler,3,0xe02c641bfc0,336,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c641c120,152,"BinaryOpICStub"
code-creation,Stub,14,0xe02c641c1c0,151,"ToBooleanStub"
code-creation,KeyedLoadIC,7,0xe02c641c260,381,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,7,0xe02c641c3e0,1058,"A keyed load IC from the snapshot"
code-creation,Stub,2,0xe02c641c820,968,"NameDictionaryLookupStub"
code-creation,Stub,2,0xe02c641cc00,958,"StoreFastElementStub"
code-creation,Stub,11,0xe02c641cfc0,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641d0a0,458,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641d280,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c641d3a0,478,"FastNewContextStub"
code-creation,Stub,12,0xe02c641d580,173,"CompareICStub"
code-creation,Stub,11,0xe02c641d640,458,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641d820,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641d8a0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641d9c0,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641da40,112,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c641dac0,434,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641dc80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641dd00,120,"An IC handler from the snapshot"
code-creation,CallIC,8,0xe02c641dd80,533,"A call IC from the snapshot"
code-creation,Stub,11,0xe02c641dfa0,332,"BinaryOpICStub"
code-creation,Stub,2,0xe02c641e100,1804,"RecordWriteStub"
code-creation,Stub,12,0xe02c641e820,677,"CompareICStub"
code-creation,Handler,3,0xe02c641eae0,272,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c641ec00,220,"An IC handler from the snapshot"
code-creation,LoadIC,6,0xe02c641ece0,514,"A load IC from the snapshot"
code-creation,Stub,11,0xe02c641ef00,458,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641f0e0,152,"BinaryOpICStub"
code-creation,Handler,3,0xe02c641f180,134,"An IC handler from the snapshot"
code-creation,Builtin,4,0xe02c641f220,122,"LoadIC_Miss"
code-creation,Handler,3,0xe02c641f2a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c641f320,1344,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,11,0xe02c641f860,152,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641f900,438,"BinaryOpICStub"
code-creation,Stub,13,0xe02c641fac0,151,"CompareNilICStub"
